,name,place_id,formatted_address,types,user_ratings_total,rating
76,Museum Adityawarman,ChIJcRVmd0651C8Re8cvlAEemYE,"Jl. Diponegoro No.10, Belakang Tangsi, Kec. Padang Bar., Kota Padang, Sumatera Barat 25114, Indonesia","museum,tourist_attraction,point_of_interest,establishment",3141,4.4
77,Puncak Bukit Gado-gado,ChIJq6qqSe271C8RQ47Swhf3NEs,"2998+C8J, Unnamed Road, Sel, Air Manis, Padang Selatan, Padang City, West Sumatra 25117, Indonesia","tourist_attraction,point_of_interest,establishment",219,4.6
78,Pantai Tabing Pasir Putih,ChIJPdKxCsTA1C8RLLKloW1sgZ4,"Bungo Pasang, Padang, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",560,4.4
79,Jambak Sea Turtle Camp,ChIJ01a-tITB1C8RFGjk3lgYvcI,"Jl. Pasir Jambak, Pasie Nan Tigo, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25173, Indonesia","tourist_attraction,point_of_interest,establishment",155,4.6
80,Pantai Ujuang Batu,ChIJT9wUesPA1C8RaAgop_R4sTc,"48PJ+3WG, Pasie Nan Tigo, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",299,4.3
81,Pantai Puruih Padang,ChIJ-UJ8ERa51C8RuJM9hRu2sXk,"3982+Q4Q, Purus, Padang Barat, Padang City, West Sumatra 25115, Indonesia","tourist_attraction,point_of_interest,establishment",948,4.5
82,Pemandian Lumin,ChIJD0aJPenG1C8RUmQN8nD0_Dg,"595G+MHH, Lubuk Minturun, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",956,4.4
83,Lubuk Ngalauan - River Bangek,ChIJZfQrs0DE1C8R43TIOJwBH_s,"692G+XQ9, Balai Gadang, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",75,4.8
84,Taman Muaro Lasak,ChIJrQXBQU-_1C8RVq_BYWfgZZQ,"39C2+925, Jl. Samudera, Rimbo Kaluang, Kec. Padang Bar., Kota Padang, Sumatera Barat 25115, Indonesia","tourist_attraction,park,point_of_interest,establishment",107,4.3
85,Pantai Gajah Padang,ChIJkWOpoVa_1C8R3c86r627Zrk,"Jl. Gajah III No.14, Air Tawar Bar., Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia","tourist_attraction,point_of_interest,establishment",374,4.2
86,Ngungun Saok,ChIJGd4hfFjP1C8RjL4WGI4nbTw,"5CWR+978, Lubuk Minturun, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",122,4.7
87,Pantai Cimpago Padang,ChIJFZuPviy51C8Rid90lO19yps,"3982+995, Jl. Samudera, Purus, Kec. Padang Bar., Kota Padang, Sumatera Barat 25115, Indonesia","tourist_attraction,point_of_interest,establishment",428,4.5
88,Taman Nirwana,ChIJjcHCdgm71C8R8m6mxAu6PK0,"Teluk Bayur, Padang Selatan, Padang City, West Sumatra 25227, Indonesia","tourist_attraction,point_of_interest,establishment",147,4.2
89,Air Terjun Timbulun,ChIJ_VykYZi61C8RLadodbNphDk,"XCHJ+FCG, East Bungus, Bungus Teluk Kabung, Padang City, West Sumatra 25237, Indonesia","tourist_attraction,point_of_interest,establishment",18,4.6
90,kawasan wisata sungai bangek,ChIJhcHu0b7F1C8RpOunWcu_sV0,"59P8+QXG, Balai Gadang, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",14,4.6
91,Pantai Kota Padang,ChIJyQZxzm251C8RYqw6YsA1cbo,"Jl. Olo Ladang No.28, Purus, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia","tourist_attraction,point_of_interest,establishment",54,4.6
92,Sitti hill Nurbaya,ChIJnSWZtaq-1C8RkHquPAiRQ_M,"29M2+JC2, Jalan Pabayan, Seberang Palinggam, Padang Selatan, Batang Arau, Kec. Padang Sel., Kota Padang, Sumatera Barat 25134, Indonesia","tourist_attraction,park,point_of_interest,establishment",88,4.4
93,Batu Malin Kundang,ChIJQTCKd5q71C8RcDIGQCwG7Aw,"2947+6RG, Air Manis, Indonesia","tourist_attraction,point_of_interest,establishment",2182,4.1
94,Bukit Paralayang Air Manis,ChIJyXzR0rG71C8RmPw82NwCUCA,"Air Manis, Padang Selatan, Padang City, West Sumatra 25117, Indonesia","tourist_attraction,amusement_park,point_of_interest,establishment",161,4.6
95,Air Terjun Ambun Suri,ChIJk6UHkbS31C8R4oKb7INrmZg,"3FPM+P34, Limau Manis Selatan, Pauh, Limau Manis Sel., Padang, Kota Padang, Sumatera Barat 25175, Indonesia","tourist_attraction,point_of_interest,establishment",27,4.3
