place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,food,liquor_store,lodging,meal_delivery,meal_takeaway,night_club,restaurant,school,store
ChIJKZMQy2MWei4RERBm9e48xHY,Cahaya 5 Padang Restaurant,"CRHF+PMH, Slamet Riyadi St, Keprabon, Banjarsari, Surakarta City, Central Java 57151, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,107,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJJUJOXIcWei4RmzScZyZA3qo,RM Sederhana Padang Kleco,"Slamet Riyadi St No.469, Pajang, Laweyan, Surakarta City, Central Java 57146, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,3374,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJhQfn714Xei4RrkKMGNL0KqQ,Rumah Makan Padang Uda Madi,"Jl. Teuku Umar No.72, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,165,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ3bZQlIcWei4RpDIQ3IpvO9s,RM Sari Bundo,"Jl. Gajahmada No.36, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,888,4.2,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJX1v0xIYWei4RquRJOtUlDt8,WM. Padang Ampera,"Jl. Ronggowarsito No.183, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,56,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJwXbE5nwVei4RMkoNqoIys3A,Resto Bundo Rumah Makan Padang,"Jl. Moh. Yamin No.1, Turi, Cemani, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,1,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJvf1IZ3wXei4RpnMPM5bchHE,RM Padang Putra Alam,"CR98+HHW, Kratonan, Serengan, Surakarta City, Central Java 57155, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,6,4.3,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJjf1_-2IWei4RDIeV8EyOoKs,Sate Padang Amura Uda Rico,"Slamet Riyadi St No.132, Timuran, Banjarsari, Surakarta City, Central Java 57131, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,107,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJcUilpj8Wei4Rqavs7kRdhdQ,Rumah Makan Ampera Masakan Padang,"Jl. Sungai Serang I No.313, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57191, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,6,4.2,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ0eBmmGYWei4RESM7OdaYpV8,Ketupat Sayur Padang Uni Luci,"CRGG+984, Kauman, Pasar Kliwon, Surakarta City, Central Java 57122, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,2,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJOwh69PUXei4RW1qBI2klp4E,Rumah Makan Padang Dara Minang,"Jl. Ledoksari No.15, Purwodiningratan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,3,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ759VK5AWei4R5onlcU0VQpY,RM. PADANG SEDERHANA BARU,"CRRC+XXH, pasar ayu solo balapan, Kestalan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57133, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,153,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJhYwIh_sWei4Rik39vvTDVGE,Rumah Makan Masakan Padang Cahaya Sukses,"CRRX+5M4, Jl. Guntur, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,7,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
