place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,clothing_store,electronics_store,food,gym,health,home_goods_store,lodging,night_club,park,parking,real_estate_agency,restaurant,shopping_mall,spa,store,travel_agency
ChIJcbOByhXxaS4Roo4wTpVnXGs,Veranda Hotel Pakubuwono,"6, Jl. Kyai Maja No.63, RT.6/RW.2, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,6946,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJQzSfVez1aS4R2jrUvn4zgV0,Grand Orchardz Kemayoran,"Jl. Rasela No.1A, RW.3, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2912,4.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJBUcbUTH0aS4R1NA8rbvdUF4,Aryaduta Menteng,"Jl. Prajurit KKO Usman dan Harun No.44-48, RT.7/RW.1, Gambir, Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10110, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,11088,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJfyaNMCv1aS4RgYfaOJOmSsA,Jambuluwuk Thamrin Hotel,"Jl. Riau No.5-7, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,784,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJc3HhEm_xaS4R2QvcEkJFQ54,Hotel GranDhika Iskandarsyah,"Jl. Iskandarsyah Raya No.65, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,5714,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJOa2VrOr1aS4RoKcYPK7gGz0,Best Western Plus Kemayoran Hotel,"Jl. Benyamin Suaeb No.5, RT.13/RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,5065,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJN9T_jiX0aS4RzS7vMdU_jrI,Oria Hotel,"Jl. K.H. Wahid Hasyim No.85, RT.1/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2176,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJZRBmukvxaS4Rtbqwbj04x0A,Hotel Mulia Senayan Jakarta,"Jalan Asia Afrika Senayan, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,19801,4.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJwwNVonP0aS4R-bCgz6fyZms,YELLO Hotel Manggarai - Jakarta,"Jl. Minangkabau Timur No.9, RT.6/RW.8, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,4198,4.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJ2zV-Ccz1aS4RWwlaMym3AnM,Hotel Borobudur Jakarta,"Jl. Lap. Banteng Selatan No.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,19029,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJiSRuLM7xaS4ReCqZeghMXwY,Swiss-Belinn Simatupang,"Jl. R.A. Kartini No.32, RT.9/RW.7, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,4146,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJLZpQXYr3aS4ROAEF4h0dqN0,Shalva Hotel Jakarta,"Jl. Kebon Kacang Raya No.33, RT.4/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,1566,4.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
